Date,Open,High,Low,Close,Volume,Close_time,Quote_av,Trades,Tb_base_av,Tb_quote_av,Ignore
2021-06-13 21:45:00,2429.01,2436.17,2426.89,2430.27,7538.71834,1623614399999.0,18330014.8430311,9138.0,3108.79154,7560172.6281832,0.0
2021-06-13 22:00:00,2430.28,2496.0,2429.52,2485.01,35401.19228,1623615299999.0,87226050.5770598,61314.0,20574.63636,50683521.0385485,0.0
2021-06-13 22:15:00,2485.01,2493.0,2471.44,2479.84,11694.1125,1623616199999.0,28993993.9949333,26534.0,6035.59609,14965307.3796688,0.0
2021-06-13 22:30:00,2479.85,2515.37,2479.79,2505.17,18279.95615,1623617099999.0,45638589.7459004,40524.0,10941.37761,27321705.5236056,0.0
2021-06-13 22:45:00,2505.18,2527.0,2505.03,2524.01,19732.72123,1623617999999.0,49676919.5671955,33053.0,12683.40261,31934472.0965698,0.0
2021-06-13 23:00:00,2524.02,2541.39,2508.19,2526.6,21137.97016,1623618899999.0,53388890.9484735,35591.0,11379.35058,28760947.505136,0.0
2021-06-13 23:15:00,2526.6,2539.0,2518.14,2535.75,14943.31203,1623619799999.0,37786216.7507498,19780.0,6258.34332,15823239.0992145,0.0
2021-06-13 23:30:00,2535.91,2548.41,2531.9,2537.9,11110.73503,1623620699999.0,28237205.193419,23951.0,5912.8117,15026215.3094096,0.0
2021-06-13 23:45:00,2537.95,2539.8,2516.62,2522.65,11602.39779,1623621599999.0,29310820.1663113,17404.0,5332.55702,13468864.2420864,0.0
2021-06-14 00:00:00,2522.52,2534.77,2513.0,2514.94,8684.90791,1623622499999.0,21939429.5982484,11574.0,3418.32806,8633554.4068973,0.0
2021-06-14 00:15:00,2514.91,2524.7,2498.29,2505.56,9367.34179,1623623399999.0,23534722.1295531,12002.0,4362.22511,10960951.8582369,0.0
2021-06-14 00:30:00,2505.45,2523.32,2505.45,2517.65,8371.12598,1623624299999.0,21052988.405294,9055.0,4284.55432,10777058.7043194,0.0
2021-06-14 00:45:00,2517.65,2521.28,2513.4,2519.21,3717.83035,1623625199999.0,9361468.9458668,5236.0,1771.58527,4461022.8018753,0.0
2021-06-14 01:00:00,2519.2,2519.42,2490.35,2499.75,8256.36569,1623626099999.0,20654242.4197177,10255.0,3763.35201,9414732.8389075,0.0
2021-06-14 01:15:00,2499.74,2509.54,2499.42,2506.84,4704.4711,1623626999999.0,11783806.0825104,5903.0,2552.95419,6394521.1475465,0.0
2021-06-14 01:30:00,2506.84,2509.95,2493.9,2495.0,4510.89784,1623627899999.0,11286172.5049846,5623.0,2180.38638,5455162.9485671,0.0
2021-06-14 01:45:00,2495.13,2514.79,2492.44,2509.33,5710.74325,1623628799999.0,14303346.1440039,7595.0,2843.81306,7122022.4851297,0.0
2021-06-14 02:00:00,2509.33,2524.4,2486.81,2493.34,11996.84305,1623629699999.0,30050888.5650649,18640.0,5955.11084,14918885.8284888,0.0
2021-06-14 02:15:00,2493.34,2506.47,2484.01,2502.34,4971.17136,1623630599999.0,12409772.2087154,10760.0,2215.91391,5532916.6762708,0.0
2021-06-14 02:30:00,2502.34,2507.79,2491.36,2500.97,5187.80078,1623631499999.0,12968411.1713262,9267.0,2723.41688,6807997.7757299,0.0
2021-06-14 02:45:00,2500.87,2503.0,2493.12,2498.97,4073.96112,1623632399999.0,10177682.2932245,7253.0,2082.19279,5202195.77714,0.0
2021-06-14 03:00:00,2498.98,2500.57,2486.55,2487.77,4472.55129,1623633299999.0,11153714.6418556,6643.0,2318.2591,5782857.5187926,0.0
2021-06-14 03:15:00,2487.76,2499.73,2485.33,2499.43,4376.76841,1623634199999.0,10910638.4286684,6239.0,2118.65471,5282854.5492431,0.0
